company_name,email,phone,website,source_url,search_query,timestamp
Folha Vitória,jornalistas@folhavitoria.com.br,121278 -0.72,https://www.folhavitoria.com.br/gastronomia/novo-point-cervejeiro-faz-sucesso-no-parque-das-castanheiras-em-vila-velha/,https://www.folhavitoria.com.br/gastronomia/novo-point-cervejeiro-faz-sucesso-no-parque-das-castanheiras-em-vila-velha/,bar no parque das castanheiras vila velha es,2025-12-09T15:34:05.862709
Cervejaria com churrasco na parrilla abre as portas em Vila Velha | HZ,ecalmon@redegazeta.com.br,202512030101,https://www.agazeta.com.br/hz/gastronomia/cervejaria-com-churrasco-na-parrilla-abre-as-portas-em-vila-velha-1025,https://www.agazeta.com.br/hz/gastronomia/cervejaria-com-churrasco-na-parrilla-abre-as-portas-em-vila-velha-1025,bar no parque das castanheiras vila velha es,2025-12-09T15:34:05.862709
ES HOJE,carlos@eshoje.com.br,2025-10-28-,https://eshoje.com.br/entretenimento/2025/10/parque-das-castanheiras-ganha-novo-point-cervejeiro-em-vila-velha/,https://eshoje.com.br/entretenimento/2025/10/parque-das-castanheiras-ganha-novo-point-cervejeiro-em-vila-velha/,bar no parque das castanheiras vila velha es,2025-12-09T15:34:05.862709
ES HOJE,bianca@eshoje.com.brr,2025-10-28-,https://eshoje.com.br/entretenimento/2025/10/parque-das-castanheiras-ganha-novo-point-cervejeiro-em-vila-velha/,https://eshoje.com.br/entretenimento/2025/10/parque-das-castanheiras-ganha-novo-point-cervejeiro-em-vila-velha/,bar no parque das castanheiras vila velha es,2025-12-09T15:34:05.862709
ES HOJE,bianca@eshoje.com.br,2025-10-28-,https://eshoje.com.br/entretenimento/2025/10/parque-das-castanheiras-ganha-novo-point-cervejeiro-em-vila-velha/,https://eshoje.com.br/entretenimento/2025/10/parque-das-castanheiras-ganha-novo-point-cervejeiro-em-vila-velha/,bar no parque das castanheiras vila velha es,2025-12-09T15:34:05.862709
ES HOJE,danihcoutinho@eshoje.com.br,2025-10-28-,https://eshoje.com.br/entretenimento/2025/10/parque-das-castanheiras-ganha-novo-point-cervejeiro-em-vila-velha/,https://eshoje.com.br/entretenimento/2025/10/parque-das-castanheiras-ganha-novo-point-cervejeiro-em-vila-velha/,bar no parque das castanheiras vila velha es,2025-12-09T15:34:05.862709
Bar do Parque das Castanheiras lança novidades no cardápio | HZ,ecalmon@redegazeta.com.br,34007934-9,https://www.agazeta.com.br/hz/gastronomia/bar-do-parque-das-castanheiras-lanca-novidades-no-cardapio-0422,https://www.agazeta.com.br/hz/gastronomia/bar-do-parque-das-castanheiras-lanca-novidades-no-cardapio-0422,bar no parque das castanheiras vila velha es,2025-12-09T15:34:05.862709
Castanheira Bar | Facebook,castanheirabarpc@gmail.com,100063765244658,https://www.facebook.com/castanheirabar/about/,https://www.facebook.com/castanheirabar/about/,bar no parque das castanheiras vila velha es,2025-12-09T15:34:05.862709
Vila Velha ganha bar de cachaças no Parque das Castanheiras | HZ,ecalmon@redegazeta.com.br,34007934-9,https://www.agazeta.com.br/hz/gastronomia/vila-velha-ganha-bar-de-cachacas-no-parque-das-castanheiras-1023,https://www.agazeta.com.br/hz/gastronomia/vila-velha-ganha-bar-de-cachacas-no-parque-das-castanheiras-1023,bar no parque das castanheiras vila velha es,2025-12-09T15:34:05.862709
Log in | TikTok,feedback@tiktok.com,1.0.0.923,https://www.tiktok.com/@viverdecomida/video/7498120253583445254,https://www.tiktok.com/@viverdecomida/video/7498120253583445254,bar no parque das castanheiras vila velha es,2025-12-09T15:34:05.862709
"Don Aguilar Restaurante – Culinária argentina, massas, drinks",contato@donaguilar.com.br,1765256147,https://donaguilar.com.br/,https://donaguilar.com.br/,bar no parque das castanheiras vila velha es,2025-12-09T15:34:05.862709
