company_name,email,phone,website,source_url,search_query,timestamp
Vila Velha ganha restaurante italiano no Parque das Castanheiras | HZ,ecalmon@redegazeta.com.br,202512020101,https://www.agazeta.com.br/hz/gastronomia/vila-velha-ganha-restaurante-italiano-no-parque-das-castanheiras-1224,https://www.agazeta.com.br/hz/gastronomia/vila-velha-ganha-restaurante-italiano-no-parque-das-castanheiras-1224,restaurante parque das castanheiras vila velha es,2025-12-09T15:28:00.420316
Folha Vitória,jornalistas@folhavitoria.com.br,121278 -0.72,https://www.folhavitoria.com.br/gastronomia/novo-point-cervejeiro-faz-sucesso-no-parque-das-castanheiras-em-vila-velha/,https://www.folhavitoria.com.br/gastronomia/novo-point-cervejeiro-faz-sucesso-no-parque-das-castanheiras-em-vila-velha/,restaurante parque das castanheiras vila velha es,2025-12-09T15:28:00.420316
Cervejaria com churrasco na parrilla abre as portas em Vila Velha | HZ,ecalmon@redegazeta.com.br,34007934-9,https://www.agazeta.com.br/hz/gastronomia/cervejaria-com-churrasco-na-parrilla-abre-as-portas-em-vila-velha-1025,https://www.agazeta.com.br/hz/gastronomia/cervejaria-com-churrasco-na-parrilla-abre-as-portas-em-vila-velha-1025,restaurante parque das castanheiras vila velha es,2025-12-09T15:28:00.420316
"Don Aguilar Restaurante – Culinária argentina, massas, drinks",contato@donaguilar.com.br,1765256147,https://donaguilar.com.br/,https://donaguilar.com.br/,restaurante parque das castanheiras vila velha es,2025-12-09T15:28:00.420316
Bar do Parque das Castanheiras lança novidades no cardápio | HZ,ecalmon@redegazeta.com.br,34007934-9,https://www.agazeta.com.br/hz/gastronomia/bar-do-parque-das-castanheiras-lanca-novidades-no-cardapio-0422,https://www.agazeta.com.br/hz/gastronomia/bar-do-parque-das-castanheiras-lanca-novidades-no-cardapio-0422,restaurante parque das castanheiras vila velha es,2025-12-09T15:28:00.420316
Log in | TikTok,feedback@tiktok.com,1.0.0.923,https://www.tiktok.com/@ricardofrizera/video/7552898558266199352,https://www.tiktok.com/@ricardofrizera/video/7552898558266199352,restaurante parque das castanheiras vila velha es,2025-12-09T15:28:00.420316
ES HOJE,carlos@eshoje.com.br,2025-10-28-,https://eshoje.com.br/entretenimento/2025/10/parque-das-castanheiras-ganha-novo-point-cervejeiro-em-vila-velha/,https://eshoje.com.br/entretenimento/2025/10/parque-das-castanheiras-ganha-novo-point-cervejeiro-em-vila-velha/,restaurante parque das castanheiras vila velha es,2025-12-09T15:28:00.420316
ES HOJE,bianca@eshoje.com.brr,2025-10-28-,https://eshoje.com.br/entretenimento/2025/10/parque-das-castanheiras-ganha-novo-point-cervejeiro-em-vila-velha/,https://eshoje.com.br/entretenimento/2025/10/parque-das-castanheiras-ganha-novo-point-cervejeiro-em-vila-velha/,restaurante parque das castanheiras vila velha es,2025-12-09T15:28:00.420316
ES HOJE,bianca@eshoje.com.br,2025-10-28-,https://eshoje.com.br/entretenimento/2025/10/parque-das-castanheiras-ganha-novo-point-cervejeiro-em-vila-velha/,https://eshoje.com.br/entretenimento/2025/10/parque-das-castanheiras-ganha-novo-point-cervejeiro-em-vila-velha/,restaurante parque das castanheiras vila velha es,2025-12-09T15:28:00.420316
ES HOJE,danihcoutinho@eshoje.com.br,2025-10-28-,https://eshoje.com.br/entretenimento/2025/10/parque-das-castanheiras-ganha-novo-point-cervejeiro-em-vila-velha/,https://eshoje.com.br/entretenimento/2025/10/parque-das-castanheiras-ganha-novo-point-cervejeiro-em-vila-velha/,restaurante parque das castanheiras vila velha es,2025-12-09T15:28:00.420316
